request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,22982284.1,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,reduce_to:event_16815:365560,"With the listed spending changes, use 3 installments of IDR 9,313,546.67, starting 2026-04-10. This leaves at least IDR 11,878,300 available over the next 90 days."
request_184,7134.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. No eligible option keeps the INR 110,800 minimum protected."
request_185,309.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. No eligible option keeps the EUR 1,300 minimum protected."
request_186,4156.68,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554 in full on 2026-03-15. Paying earlier would take the balance below the ZAR 22,000 minimum."
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,102.94,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. No eligible option keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,478.57,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,107.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. No eligible option keeps the USD 1,000 minimum protected."
request_193,33.62,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000 available over the next 90 days."
request_194,33083.28,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 2025-10-23. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,965.95,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,reduce_to:event_17957:13,"With the listed spending changes, use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700 available over the next 90 days."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 2025-11-19. This leaves at least IDR 26,245,900 available over the next 90 days."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. This leaves at least IDR 25,359,500 available over the next 90 days."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23122198.12,affordable_with_plan,full_payment,2026-04-03:23997000,,stop:event_18493,"With the listed spending changes, pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,861.02,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-08. No eligible option keeps the EUR 1,400 minimum protected."
request_204,572.05,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 2026-01-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available over the next 90 days."
request_207,4516.76,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3040802.28,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1660.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. No eligible option keeps the ZAR 18,400 minimum protected."
request_210,972.41,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,"Use 3 installments of USD 471.48, starting 2026-04-06. This leaves at least USD 2,000 available over the next 90 days."
request_211,252.01,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,4092864.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-28. No eligible option keeps the IDR 29,579,800 minimum protected."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 2026-01-21. This leaves at least USD 2,100 available over the next 90 days."
request_214,41113.73,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-15,none,"Use 2 installments of INR 36,270, starting 2024-12-04. This leaves at least INR 174,900 available over the next 90 days."
request_215,26913.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-10. No eligible option keeps the ZAR 15,700 minimum protected."
request_216,483.08,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 2026-09-15. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,19583.4,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 26,800 available over the next 90 days."
request_218,24611852.51,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 34,477,200 available over the next 90 days."
request_219,711.17,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1,100 available over the next 90 days."
request_220,72.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-03. No eligible option keeps the EUR 1,100 minimum protected."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10063394.35,affordable_with_plan,partial_payment,2025-02-04:10063394.35|2025-02-15:263605.65,2025-02-15,none,"Pay IDR 10,063,394.35 today and the remaining IDR 263,605.65 on 2025-02-15. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,9590423.21,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,reduce_to:event_20649:314450,"With the listed spending changes, use 3 installments of IDR 7,647,120, starting 2026-07-20. This leaves at least IDR 17,670,700 available over the next 90 days."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,7567.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-20. No eligible option keeps the INR 62,900 minimum protected."
request_228,1601201.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-30. No eligible option keeps the IDR 26,191,200 minimum protected."
request_229,434.66,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,000 available over the next 90 days."
request_230,3041.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-04. No eligible option keeps the EUR 2,000 minimum protected."
request_231,30710.57,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,reduce_to:event_21305:845.90,"With the listed spending changes, use 3 installments of ZAR 12,378.08, starting 2026-01-06. This leaves at least ZAR 24,300 available over the next 90 days."
request_232,631.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. No eligible option keeps the EUR 2,400 minimum protected."
request_233,3738334.08,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,2025-11-15,none,"Use 2 installments of IDR 3,245,320, starting 2025-11-14. This leaves at least IDR 10,365,700 available over the next 90 days."
request_234,228.84,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 2026-09-15. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5830036.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-23. No eligible option keeps the IDR 16,768,600 minimum protected."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,356.09,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-16. No eligible option keeps the USD 700 minimum protected.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13746.71,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. No eligible option keeps the INR 52,800 minimum protected."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17. This leaves at least IDR 19,252,000 available over the next 90 days."
request_242,27.29,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. No eligible option keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,24005.91,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 2026-01-15. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. This leaves at least ZAR 39,300 available over the next 90 days."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,882.27,affordable_with_plan,partial_payment,2025-02-07:882.27|2025-04-24:1083.33,2025-04-24,reduce_to:event_22795:15.20,"With the listed spending changes, pay USD 882.27 today and the remaining USD 1,083.33 on 2025-04-24. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,126.52,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 2026-03-15. Paying earlier would take the balance below the USD 600 minimum.
request_250,15440.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-18. No eligible option keeps the ZAR 35,300 minimum protected."
request_251,79.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-06. No eligible option keeps the EUR 1,300 minimum protected."
request_252,4976819.51,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1370.83,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2,300 available over the next 90 days."
request_254,637.23,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 2025-10-15. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,750746.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. No eligible option keeps the IDR 9,813,900 minimum protected."
request_256,152799.25,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75,816, starting 2024-06-10. This leaves at least INR 168,600 available over the next 90 days."
request_257,317.96,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 2026-01-15. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,211.88,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600 minimum.
request_260,6375023.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-18. No eligible option keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-24. No eligible option keeps the IDR 31,018,500 minimum protected."
request_263,5805.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-15. No eligible option keeps the ZAR 24,100 minimum protected."
request_264,23492.15,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 2026-06-15. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970 today. This leaves at least INR 189,700 available over the next 90 days."
request_266,770.25,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 900 available over the next 90 days."
request_267,1641.71,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,"With the listed spending changes, use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1,500 available over the next 90 days."
request_268,1041.5,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400 available over the next 90 days."
request_269,9921.59,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"Pay ZAR 15,490 in full on 2025-12-15. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,96.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-30. No eligible option keeps the USD 1,400 minimum protected."
request_271,13812.36,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 2024-11-15. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5415269.1,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 7,508,600 available over the next 90 days."
request_273,9628167.38,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,"Use 3 installments of IDR 5,498,480, starting 2026-04-07. This leaves at least IDR 18,774,600 available over the next 90 days."
request_274,2131.94,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,reduce_to:event_25181:51.60,"With the listed spending changes, use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1,800 available over the next 90 days."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
